title,combined
Picnic at Hanging Rock,trip australia orphanag rachelroberts dominicguard helenmorse peterweir thriller drama mystery
Smoke Signals,adambeach evanadams irenebedard chriseyre drama comedy
Voyage to the Beginning of the World,marcellomastroianni jean-yvesgautier leonorsilveira manoeldeoliveira drama foreign
Buffalo '66,prison gambl compulsivegambl vincentgallo christinaricci bengazzara vincentgallo romance comedy crime
Armageddon,savingtheworld pari moon brucewillis billybobthornton benaffleck michaelbay action thriller sciencefiction
Lethal Weapon 4,lapd houseonfir revolv melgibson dannyglover joepesci richarddonner action adventure comedy
Madeline,children womandirector hattyjones francesmcdormand nigelhawthorne daisyvonscherlermayer comedy drama family
Small Soldiers,defenseindustri toyshop technicaltoy gregorysmith kirstendunst denisleary joedante comedy adventure fantasy
Pi,hacker mathematician helix seangullette markmargolis benshenkman darrenaronofsky mystery drama thriller
Whatever,sex newjersey teenag lizaweil chadmorgan fredericforrest susanskoog drama
There's Something About Mary,surgeon stalker romanticcomedi camerondiaz benstiller mattdillon bobbyfarrelly romance comedy
Plan 9 from Outer Space,california stewardess fog gregorywalcott monamckinnon dukemoore edwardd.woodjr. sciencefiction horror
Wings,pari worldwari friendship clarabow charles'buddy'rogers richardarlen williama.wellman action drama romance
The Broadway Melody,music singer pre-cod charlesking anitapage bessielove harrybeaumont drama music romance
All Quiet on the Western Front,germani disillus worldwari lewayres arnoldlucy johnwray lewismilestone drama war
Cimarron,newspap oklahoma frontier richarddix irenedunne estelletaylor wesleyruggles drama western
Grand Hotel,hotel cardgam burglar gretagarbo johnbarrymore joancrawford edmundgoulding drama romance
Cavalcade,dianawynyard clivebrook unao'connor franklloyd drama
Mutiny on the Bounty,bounti captain boat charleslaughton clarkgable franchottone franklloyd adventure drama history
The Great Ziegfeld,produc broadway ziegfeld williampowell myrnaloy luiserainer robertz.leonard drama music romance
The Life of Emile Zola,biographi historicalfigur writer paulmuni galesondergaard josephschildkraut williamdieterle drama
You Can't Take It With You,monopoli tycoon hous jeanarthur lionelbarrymore jamesstewart frankcapra comedy romance
How Green Was My Valley,wale ruralset coalmin walterpidgeon maureeno'hara roddymcdowall johnford drama
Mrs. Miniver,england basedonnovel hostag greergarson walterpidgeon teresawright williamwyler drama romance war
Going My Way,priest bingcrosby barryfitzgerald frankmchugh leomccarey drama comedy music
The Lost Weekend,desper weekend delirium raymilland janewyman phillipterry billywilder drama
The Best Years of Our Lives,usa posttraumaticstressdisord warveteran fredricmarch myrnaloy danaandrews williamwyler drama history romance
Gentleman's Agreement,antisemit soldier gregorypeck dorothymcguire johngarfield eliakazan drama romance
All the King's Men,southernusa basedonnovel newspap broderickcrawford johnireland joannedru robertrossen drama
The Greatest Show on Earth,circus travellingcircus bettyhutton cornelwilde charltonheston cecilb.demille action drama romance
From Here to Eternity,hawaii harass pearlharbor burtlancaster montgomeryclift deborahkerr fredzinnemann war drama romance
On the Waterfront,murder suspens union marlonbrando karlmalden leej.cobb eliakazan crime drama
Marty,butcher marriag love ernestborgnine betsyblair estherminciotti delbertmann drama romance
West Side Story,slum streetgang loveatfirstsight nataliewood richardbeymer russtamblyn jeromerobbins crime drama music
Tom Jones,fromragstorich tutor squir albertfinney susannahyork hughgriffith tonyrichardson adventure comedy history
A Man for All Seasons,england pope behead paulscofield wendyhiller leomckern fredzinnemann drama history
In the Heat of the Night,southernusa blackpeopl smalltown sidneypoitier rodsteiger warrenoates normanjewison crime drama mystery
Oliver!,pickpocket music victorianengland ronmoody shaniwallis oliverreed carolreed drama family music
Midnight Cowboy,shower dustinhoffman jonvoight sylviamiles johnschlesinger drama
The French Connection,policebrut marseill nightlif genehackman fernandorey royscheider williamfriedkin action crime thriller
Rocky,underdog philadelphia transport sylvesterstallone taliashire burtyoung johng.avildsen drama
Kramer vs. Kramer,wifehusbandrelationship custodybattl marriag dustinhoffman merylstreep janealexander robertbenton drama
Ordinary People,posttraumaticstressdisord depress suicideattempt donaldsutherland marytylermoore juddhirsch robertredford drama
Chariots of Fire,underdog scotland jewri bencross iancharleson cherylcampbell hughhudson drama history
Terms of Endearment,lossofhusband cancer motherdaughterrelationship shirleymaclaine debrawinger jacknicholson jamesl.brooks drama comedy
Out of Africa,skabundertv bagv øverstehyld merylstreep robertredford klausmariabrandauer sydneypollack drama
The Last Emperor,buddhism japan suicid johnlone petero'toole joanchen bernardobertolucci drama history
Rain Man,individu mentallydis autism dustinhoffman tomcruise valeriagolino barrylevinson drama
Driving Miss Daisy,individu blackpeopl chauffeur morganfreeman jessicatandy danaykroyd bruceberesford comedy drama
Take the Money and Run,prison pickpocket jinx woodyallen janetmargolin marcelhillaire woodyallen comedy crime
Klute,newyork prostitut detect janefonda donaldsutherland charlescioffi alanj.pakula mystery
Repo Man,california cocain futur harrydeanstanton emilioestevez traceywalter alexcox comedy crime sciencefiction
Metropolitan,upperclass newyork independentfilm edwardclements chriseigeman taylornichols whitstillman comedy drama
Labyrinth,maze castl puppet davidbowie jenniferconnelly tobyfroud jimhenson adventure family fantasy
The Breakfast Club,highschool tardyhal teenag emilioestevez anthonymichaelhall juddnelson johnhughes comedy drama
A Nightmare on Elm Street Part 2: Freddy's Revenge,gay danc fire robertenglund markpatton kimmyers jacksholder horror
A Nightmare on Elm Street 3: Dream Warriors,grouptherapi nightmar hypnosi robertenglund patriciaarquette heatherlangenkamp chuckrussell horror thriller
A Nightmare on Elm Street 4: The Dream Master,martialart nightmar supernatur robertenglund tuesdayknight kensagoes rennyharlin horror thriller
A Nightmare on Elm Street 5: The Dream Child,nun babi monster robertenglund lisawilcox erikaanderson stephenhopkins horror thriller
Freddy's Dead: The Final Nightmare,amnesia nightmar alternatedimens robertenglund lisazane shongreenblatt racheltalalay horror thriller comedy
Friday the 13th,drown lake cabin betsypalmer adrienneking harrycrosby seans.cunningham horror
Friday the 13th Part 2,camp summercamp gore amysteel johnfurey adrienneking steveminer horror thriller
Friday the 13th Part III,lake summercamp murder danakimmell paulkratka traciesavage steveminer horror thriller
Friday the 13th: The Final Chapter,lake resurrect morgu kimberlybeck erichanderson coreyfeldman josephzito horror thriller
Friday the 13th: A New Beginning,mask psycholog serialkil melaniekinnaman johnshepherd shavarross dannysteinmann horror thriller
Friday the 13th Part VI: Jason Lives,lightn cemeteri mask thommathews jennifercooke davidkagen tommcloughlin horror mystery thriller
Friday the 13th Part VII: The New Blood,lake mask telekinesi kanehodder larparklincoln susanjennifersullivan johncarlbuechler horror thriller
Friday the 13th Part VIII: Jason Takes Manhattan,newyork boat mask kanehodder jensendaggett scottreeves robhedden horror thriller
Halloween,femalenud nuditi mask donaldpleasence jamieleecurtis p.j.soles johncarpenter horror thriller
Halloween II,sheriff mask halloween jamieleecurtis donaldpleasence charlescyphers rickrosenthal horror thriller
Halloween III: Season of the Witch,commerci factori gasstat tomatkins staceynelkin dano'herlihy tommyleewallace horror mystery sciencefiction
Halloween 4: The Return of Michael Myers,sheriff scissor ambul donaldpleasence elliecornell danielleharris dwighth.little horror thriller
Halloween 5: The Revenge of Michael Myers,sheriff barn black donaldpleasence danielleharris elliecornell dominiqueothenin-girard horror thriller
Prom Night,danc femalenud sex leslienielsen jamieleecurtis caseystevens paullynch horror mystery thriller
Hello Mary Lou: Prom Night II,cemeteri infidel shower michaelironside wendylyon louisferreira brucepittman horror
Prom Night III: The Last Kiss,malenud nuditi highschool timconlon courtneytaylor cynthiapreston peterr.simpson thriller comedy horror
Prom Night IV: Deliver Us from Evil,monk sex nun nicoledeboer j.h.wyman joytanner clayborris horror
Child's Play,gun birthday voodoo catherinehicks chrissarandon alexvincent tomholland horror thriller
Child's Play 2,faithless puppet killertoy alexvincent jennyagutter gerritgraham johnlafia drama horror
Child's Play 3,recruit puppet killerdol justinwhalin perreyreeves jeremysylvers jackbender thriller horror action
Poltergeist,parentchildrelationship medium ghostbust craigt.nelson jobethwilliams beatricestraight tobehooper horror
Poltergeist II: The Other Side,monster poltergeist supernaturalpow craigt.nelson jobethwilliams heathero'rourke briangibson horror thriller
Poltergeist III,chicago religionandsupernatur supernaturalpow tomskerritt nancyallen heathero'rourke garysherman horror thriller
The Exorcist,exorc holywat religionandsupernatur lindablair maxvonsydow ellenburstyn williamfriedkin drama horror thriller
Exorcist II: The Heretic,exorc examin pactwiththedevil lindablair richardburton louisefletcher johnboorman horror thriller fantasy
The Exorcist III,deathpenalti suspicionofmurd exorc georgec.scott edflanders braddourif williampeterblatty thriller horror mystery
Lethal Weapon,self-destruct losangel policedetect melgibson dannyglover garybusey richarddonner adventure action comedy
Lethal Weapon 2,gang policedetect buddycop melgibson dannyglover joepesci richarddonner action adventure comedy
Lethal Weapon 3,rookiecop dogbiscuit shootingpractic melgibson dannyglover joepesci richarddonner adventure action comedy
Gremlins,holiday monster smalltown zachgalligan phoebecates hoytaxton joedante fantasy horror comedy
Gremlins 2: The New Batch,newyork monster skyscrap zachgalligan phoebecates johnglover joedante comedy horror fantasy
The Goonies,gunfight urin hidden seanastin joshbrolin jeffcohen richarddonner adventure comedy family
The Mask of Zorro,california spi hero antoniobanderas anthonyhopkins catherinezeta-jones martincampbell action adventure
Polish Wedding,pari danc jealousi clairedanes lenaolin gabrielbyrne theresaconnelly comedy drama
"This World, Then the Fireworks",philiplocke elisimboden christiandurango michaeloblowitz crime drama thriller
Soylent Green,paranoia dystopia overpopul charltonheston edwardg.robinson leightaylor-young richardfleischer mystery sciencefiction thriller
Metropolis,manvsmachin undergroundworld inventor brigittehelm alfredabel gustavfröhlich fritzlang drama sciencefiction
Back to the Future Part II,skateboard flyingcar carrac michaelj.fox christopherlloyd leathompson robertzemeckis adventure comedy family
Back to the Future Part III,railroadrobb california delorean michaelj.fox christopherlloyd marysteenburgen robertzemeckis adventure comedy family
The Poseidon Adventure,lifeanddeath prostitut newyear'sev genehackman ernestborgnine redbuttons ronaldneame action adventure
Freaky Friday,jodiefoster barbaraharris johnastin garynelson fantasy comedy family
The Absent-Minded Professor,fredmacmurray nancyolson keenanwynn robertstevenson comedy family sciencefiction
The Apple Dumpling Gang Rides Again,spoof timconway donknotts timmatheson vincentmceveety comedy family western
Babes in Toyland,kidsandfamili annettefunicello raybolger tommysands jackdonohue fantasy sciencefiction family
Bambi,forest comingofag bestfriend donniedunagan peterbehn stanalexander davidhand animation drama family
Seven Samurai,japan samurai peasant toshirōmifune takashishimura yoshioinaba akirakurosawa action drama
Dangerous Liaisons,lovesick sexual cheat glennclose johnmalkovich michellepfeiffer stephenfrears drama romance
Dune,propheci witch monster kylemaclachlan francescaannis leonardocimino davidlynch action sciencefiction adventure
The Last Temptation of Christ,christian traitor jesuschrist willemdafoe harveykeitel barbarahershey martinscorsese drama
The Godfather: Part III,itali christian newyork alpacino dianekeaton andygarcía francisfordcoppola crime drama thriller
The Rapture,sex erotic groupsex mimirogers patrickbauchau davidduchovny michaeltolkin mystery drama
Lolita,jealousi secret blackmail jeremyirons dominiqueswain melaniegriffith adrianlyne drama romance
